model_name,class,false_positive_rate,true_positive_rate,threshold
sensor_attack_ensemble,1,0.0,0.72608,0.9999998710590013
sensor_attack_ensemble,1,0.0,0.72624,0.9999998684337577
sensor_attack_ensemble,1,0.0,0.7276,0.9999998523022621
sensor_attack_ensemble,1,0.0,0.72776,0.9999998514712525
sensor_attack_ensemble,1,0.0,0.73872,0.9999996345439538
sensor_attack_ensemble,1,0.0,0.73888,0.9999996337319278
sensor_attack_ensemble,1,0.0,0.74232,0.9999995636787943
sensor_attack_ensemble,1,0.0,0.74248,0.9999995631147892
sensor_attack_ensemble,1,0.0,0.78664,0.9999983449489053
sensor_attack_ensemble,1,0.0,0.7868,0.9999983437944048
sensor_attack_ensemble,1,0.0,0.80544,0.999996994984847
sensor_attack_ensemble,1,0.0,0.8056,0.9999969208389908
sensor_attack_ensemble,1,0.0,0.82904,0.9999094875510002
sensor_attack_ensemble,1,0.0,0.8292,0.9999093538074112
sensor_attack_ensemble,1,0.0,0.83928,0.9995425860682815
sensor_attack_ensemble,1,0.0,0.83944,0.9995423311607391
sensor_attack_ensemble,1,0.0,0.84432,0.9994598973365837
sensor_attack_ensemble,1,0.0,0.84448,0.9994563573704003
sensor_attack_ensemble,1,0.0,0.852,0.9983673818558261
sensor_attack_ensemble,1,0.0,0.85232,0.9983333333333332
sensor_attack_ensemble,1,0.0,0.92504,0.9181844636916169
sensor_attack_ensemble,1,0.0,0.9252,0.9177573126482296
sensor_attack_ensemble,1,0.0,0.92664,0.9151604949573704
sensor_attack_ensemble,1,0.0,0.9268,0.9150897307994647
sensor_attack_ensemble,1,0.0,0.93624,0.8225742287177366
sensor_attack_ensemble,1,8e-05,0.93624,0.8184356622636741
sensor_attack_ensemble,1,8e-05,0.93752,0.7979392923571239
sensor_attack_ensemble,1,8e-05,0.93768,0.7977923444013872
sensor_attack_ensemble,1,8e-05,0.95032,0.7179217159633957
sensor_attack_ensemble,1,0.00016,0.95032,0.717720896012005
sensor_attack_ensemble,1,0.00016,0.952,0.7126745645812212
sensor_attack_ensemble,1,0.00016,0.95216,0.7126157302789068
sensor_attack_ensemble,1,0.00016,0.9524,0.7123662376155524
sensor_attack_ensemble,1,0.00016,0.95256,0.7122175326502457
sensor_attack_ensemble,1,0.00016,0.95632,0.7044052960870251
sensor_attack_ensemble,1,0.00024,0.95632,0.7042210080120005
sensor_attack_ensemble,1,0.00024,0.95688,0.7032699578627349
sensor_attack_ensemble,1,0.00024,0.95704,0.7032410812241047
sensor_attack_ensemble,1,0.00024,0.96328,0.6873815631023795
sensor_attack_ensemble,1,0.00024,0.96344,0.6872349959304246
sensor_attack_ensemble,1,0.00024,0.98936,0.6373796974788836
sensor_attack_ensemble,1,0.00024,0.98952,0.6355334744660869
sensor_attack_ensemble,1,0.00024,0.99104,0.6244952072681916
sensor_attack_ensemble,1,0.00032,0.99104,0.6244044434284567
sensor_attack_ensemble,1,0.00032,0.99224,0.6136877782763969
sensor_attack_ensemble,1,0.00048,0.99224,0.6125573767155906
sensor_attack_ensemble,1,0.00048,0.99288,0.6036170614466211
sensor_attack_ensemble,1,0.00056,0.99288,0.6032204392454753
sensor_attack_ensemble,1,0.00056,0.99376,0.5954601097106583
sensor_attack_ensemble,1,0.00064,0.99376,0.5953160709524283
sensor_attack_ensemble,1,0.00064,0.99384,0.593403674887164
