model_name,class,false_positive_rate,true_positive_rate,threshold
leak_status,1,0.0,0.0,inf
leak_status,1,0.004081632653061225,0.0,0.28375253028650554
leak_status,1,0.35918367346938773,0.0,0.24001208399614232
leak_status,1,0.35918367346938773,0.2,0.23992751830381612
leak_status,1,0.5346938775510204,0.2,0.2282584754860874
leak_status,1,0.5346938775510204,0.4,0.22789815642610742
leak_status,1,0.7346938775510204,0.4,0.21447935497298987
leak_status,1,0.7346938775510204,0.6,0.2141472415472491
leak_status,1,0.9836734693877551,0.6,0.17013429577262967
leak_status,1,0.9836734693877551,0.8,0.16889338144610658
leak_status,1,0.9877551020408163,0.8,0.16596166152100628
leak_status,1,0.9877551020408163,1.0,0.16140393883824866
leak_status,1,1.0,1.0,0.1586098792431387
