model_name,class,false_positive_rate,true_positive_rate,threshold
water_quality,0,0.0,0.0,inf
water_quality,0,0.004016064257028112,0.0,0.37375193018874875
water_quality,0,0.8112449799196787,0.0,0.2024590302767017
water_quality,0,0.8112449799196787,1.0,0.20226365972087412
water_quality,0,1.0,1.0,0.1214962330582259
water_quality,1,0.0,0.0,inf
water_quality,1,0.004347826086956522,0.0,0.23143384380184573
water_quality,1,0.09130434782608696,0.0,0.20245787428083303
water_quality,1,0.09130434782608696,0.05,0.2017195613098427
water_quality,1,0.11304347826086956,0.05,0.19453592924540739
water_quality,1,0.11304347826086956,0.1,0.19439895211345215
water_quality,1,0.14347826086956522,0.1,0.18832629786297733
water_quality,1,0.14347826086956522,0.15,0.18825946922006023
water_quality,1,0.16956521739130434,0.15,0.1873921329592904
water_quality,1,0.16956521739130434,0.2,0.18584463388978145
water_quality,1,0.18695652173913044,0.2,0.18022442625536025
water_quality,1,0.18695652173913044,0.25,0.18011682106962137
water_quality,1,0.21304347826086956,0.25,0.17476361518911898
water_quality,1,0.21304347826086956,0.3,0.17445712507804367
water_quality,1,0.2217391304347826,0.3,0.17142427483815023
water_quality,1,0.2217391304347826,0.35,0.17123384393588803
water_quality,1,0.23043478260869565,0.35,0.17063310865219564
water_quality,1,0.23043478260869565,0.4,0.17003878352757182
water_quality,1,0.2391304347826087,0.4,0.16952610117340722
water_quality,1,0.2391304347826087,0.45,0.1694734443098887
water_quality,1,0.26956521739130435,0.45,0.16611634667676176
water_quality,1,0.26956521739130435,0.5,0.16591965179358112
water_quality,1,0.28695652173913044,0.5,0.1642082010925103
water_quality,1,0.28695652173913044,0.55,0.16397974861433756
water_quality,1,0.3739130434782609,0.55,0.15548084892153893
water_quality,1,0.3739130434782609,0.6,0.15544850312896139
water_quality,1,0.591304347826087,0.6,0.13774614638178742
water_quality,1,0.591304347826087,0.65,0.1376789754663274
water_quality,1,0.7130434782608696,0.65,0.12750099157293068
water_quality,1,0.7130434782608696,0.7,0.12715989784519766
water_quality,1,0.7391304347826086,0.7,0.1239754936249844
water_quality,1,0.7391304347826086,0.75,0.12377733076662384
water_quality,1,0.7782608695652173,0.75,0.12052549907908536
water_quality,1,0.7782608695652173,0.8,0.11958517559657939
water_quality,1,0.8391304347826087,0.8,0.1113122042400432
water_quality,1,0.8391304347826087,0.85,0.11055576278487624
water_quality,1,0.8434782608695652,0.85,0.10958662328188731
water_quality,1,0.8434782608695652,0.9,0.10821445662789782
water_quality,1,0.8782608695652174,0.9,0.10481081501947377
water_quality,1,0.8782608695652174,0.95,0.1044563072285998
water_quality,1,1.0,0.95,0.06866369817220797
water_quality,1,1.0,1.0,0.05431322928675568
water_quality,2,0.0,0.0,inf
water_quality,2,0.047619047619047616,0.0,0.8241905376550185
water_quality,2,0.047619047619047616,0.14847161572052403,0.698843192425981
water_quality,2,0.09523809523809523,0.14847161572052403,0.6946129579168105
water_quality,2,0.09523809523809523,0.17903930131004367,0.6895909910214686
water_quality,2,0.14285714285714285,0.17903930131004367,0.6893265130954005
water_quality,2,0.14285714285714285,0.20087336244541484,0.678093126235335
water_quality,2,0.19047619047619047,0.20087336244541484,0.6779178202746616
water_quality,2,0.19047619047619047,0.2096069868995633,0.6752898880889725
water_quality,2,0.23809523809523808,0.2096069868995633,0.6730590860266471
water_quality,2,0.23809523809523808,0.24890829694323144,0.6654791350899273
water_quality,2,0.2857142857142857,0.24890829694323144,0.6652055021576789
water_quality,2,0.2857142857142857,0.2663755458515284,0.6604335607782762
water_quality,2,0.3333333333333333,0.2663755458515284,0.6601756814398406
water_quality,2,0.3333333333333333,0.37554585152838427,0.6328972344623796
water_quality,2,0.38095238095238093,0.37554585152838427,0.6314223247230978
water_quality,2,0.38095238095238093,0.3930131004366812,0.6285424183248682
water_quality,2,0.42857142857142855,0.3930131004366812,0.6279635660408545
water_quality,2,0.42857142857142855,0.39737991266375544,0.6269691270645366
water_quality,2,0.47619047619047616,0.39737991266375544,0.6256263480336086
water_quality,2,0.47619047619047616,0.5633187772925764,0.5970900479347995
water_quality,2,0.5238095238095238,0.5633187772925764,0.5969832522695269
water_quality,2,0.5238095238095238,0.6026200873362445,0.5903266779686777
water_quality,2,0.5714285714285714,0.6026200873362445,0.589581768126031
water_quality,2,0.5714285714285714,0.6724890829694323,0.5789396683347113
water_quality,2,0.6190476190476191,0.6724890829694323,0.5776697310965222
water_quality,2,0.6190476190476191,0.6943231441048034,0.5724664770648432
water_quality,2,0.6666666666666666,0.6943231441048034,0.5722714599516883
water_quality,2,0.6666666666666666,0.7030567685589519,0.5706801788771708
water_quality,2,0.7142857142857143,0.7030567685589519,0.5694642940553702
water_quality,2,0.7142857142857143,0.74235807860262,0.5593596871493292
water_quality,2,0.7619047619047619,0.74235807860262,0.5578358189197848
water_quality,2,0.7619047619047619,0.7685589519650655,0.5473229096439886
water_quality,2,0.8095238095238095,0.7685589519650655,0.5449827281049315
water_quality,2,0.8095238095238095,0.7903930131004366,0.5388503985861745
water_quality,2,0.8571428571428571,0.7903930131004366,0.5383911564762706
water_quality,2,0.8571428571428571,0.8122270742358079,0.5341549503176596
water_quality,2,0.9047619047619048,0.8122270742358079,0.5335285696578355
water_quality,2,0.9047619047619048,0.8253275109170306,0.5293316827774324
water_quality,2,0.9523809523809523,0.8253275109170306,0.5292074592651689
water_quality,2,0.9523809523809523,0.9606986899563319,0.4725965724112324
water_quality,2,1.0,0.9606986899563319,0.46917392294013927
water_quality,2,1.0,1.0,0.42379019553041825
